index,product,category,sub_category,brand,sale_price,market_price,type,rating,rating_status,discount_amt,discount_pct
42,lemon & tea tree oil soap,Beauty & Hygiene,Bath & Hand Wash,liril,360.0,360.0,Bathing Bars & Soaps,4.2,Rated,0.0,0.0
43,flavoured cream wafer roll - strawberry,Gourmet & World Food,Chocolates & Biscuits,twister,275.0,275.0,"Cookies, Biscotti, Wafer",4.3,Rated,0.0,0.0
44,storage/lunch steel container with pp lid - red,"Kitchen, Garden & Pets",Steel Utensils,classic essentials,109.0,299.0,Steel Lunch Boxes,2.6,Rated,190.0,63.54515050167224
45,plain green olives,Gourmet & World Food,Tinned & Processed Food,figaro,179.0,179.0,"Olive, Jalapeno, Gherkin",5.0,Rated,0.0,0.0
46,quinoa - organic,"Foodgrains, Oil & Masala",Organic Staples,organic tattva,250.0,250.0,"Organic Rice, Other Rice",3.9,Rated,0.0,0.0
47,after shave splash - arctic ice,Beauty & Hygiene,Men's Grooming,gillette,459.62,469.0,Shaving Care,3.9,Rated,9.379999999999995,1.9999999999999991
48,colour catcher sheets,Cleaning & Household,All Purpose Cleaners,dylon,799.0,799.0,Imported Cleaners,4.0,Rated,0.0,0.0
49,sauce - sweet & sour,Gourmet & World Food,"Sauces, Spreads & Dips",pantai,245.0,245.0,Thai & Asian Sauces,3.7,Rated,0.0,0.0
50,super hot and sweet mango chutney,Snacks & Branded Foods,Pickles & Chutney,spice story,100.0,125.0,Chutney Powder,3.0,Rated,25.0,20.0
51,pani puri mix paste,"Foodgrains, Oil & Masala",Masalas & Spices,mother's recipe,48.95,55.0,Cooking Pastes,4.1,Rated,6.049999999999997,10.999999999999995
52,peach syrup,Gourmet & World Food,Drinks & Beverages,pekers,850.0,850.0,Gourmet Juices & Drinks,4.2,Rated,0.0,0.0
53,acne & oil control face wash,Beauty & Hygiene,Men's Grooming,red hunt,80.0,100.0,Face & Body,4.0,Rated,20.0,20.0
54,choco deck - french dessert inspired layered bar,Snacks & Branded Foods,Chocolates & Candies,fabelle,56.0,70.0,Chocolates,4.0,Rated,14.0,20.0
55,extra fine green peas,Gourmet & World Food,Tinned & Processed Food,daucy,202.5,225.0,Beans & Pulses,4.5,Rated,22.5,10.0
56,soothing cucumber facial scrub with apricot seeds,Beauty & Hygiene,Skin Care,tjori,299.4,499.0,Face Care,,Not Rated,199.60000000000002,40.0
57,foochka,Snacks & Branded Foods,Ready To Cook & Eat,shareat,60.0,60.0,"Papads, Ready To Fry",3.9,Rated,0.0,0.0
58,argan-liquid gold hair spa,Beauty & Hygiene,Hair Care,aroma treasures,199.5,210.0,Hair & Scalp Treatment,4.4,Rated,10.5,5.0
59,"baby bed protector - sublimation print, pink",Baby Care,Baby Bath & Hygiene,quick dry,199.0,199.0,Baby Health,3.7,Rated,0.0,0.0
60,corporate planner diary with premium pu leather cover with card holder,Cleaning & Household,Stationery,prozo plus,399.0,399.0,"Notebooks, Files, Folders",,Not Rated,0.0,0.0
61,"atta chalan - stainless steel, size- no.8","Kitchen, Garden & Pets",Kitchen Accessories,kvg,149.0,179.0,Kitchen Tools & Other Accessories,3.5,Rated,30.0,16.75977653631285
62,dog supplement - absolute skin + coat tablet,"Kitchen, Garden & Pets",Pet Food & Accessories,drools,348.6,498.0,Pet Meals & Treats,4.0,Rated,149.39999999999998,29.999999999999993
63,"peanut butter - creamy, super",Gourmet & World Food,"Sauces, Spreads & Dips",happilo,209.4,349.0,"Chocolate, Peanut Spread",4.3,Rated,139.6,40.0
64,sugar free petit beurre - the taste of france,Snacks & Branded Foods,Biscuits & Cookies,bisk farm,35.0,35.0,"Marie, Health, Digestive",4.0,Rated,0.0,0.0
65,aqua halo rejuvenating conditioner,Beauty & Hygiene,Hair Care,azafran,168.75,225.0,Shampoo & Conditioner,1.0,Rated,56.25,25.0
66,ayurvedic anti-tan face pack,Beauty & Hygiene,Skin Care,tjori,269.4,449.0,Face Care,,Not Rated,179.60000000000002,40.00000000000001
67,dog supplement - absolute calcium tablet,"Kitchen, Garden & Pets",Pet Food & Accessories,drools,339.15,399.0,Pet Meals & Treats,3.9,Rated,59.85000000000002,15.000000000000005
68,battery power kids toothbrush - barbie,Beauty & Hygiene,Oral Care,colgate,374.25,499.0,Electric Toothbrush,4.0,Rated,124.75,25.0
69,organic carom seeds/ajwain/om kalu,"Foodgrains, Oil & Masala",Masalas & Spices,earthon,72.0,72.0,Whole Spices,,Not Rated,0.0,0.0
70,"padded harness - 3/4 inch, grey colour","Kitchen, Garden & Pets",Pet Food & Accessories,glenand,840.0,840.0,Pet Collars & Leashes,,Not Rated,0.0,0.0
71,"kids motu patlu toothpaste - 2-5 years, bubble fruit flavour",Beauty & Hygiene,Oral Care,colgate,43.0,43.0,Toothpaste,4.0,Rated,0.0,0.0
72,pure & gentle face wash,Beauty & Hygiene,Skin Care,pears,120.0,150.0,Face Care,4.3,Rated,30.0,20.0
73,sesame seed oil,Beauty & Hygiene,Skin Care,inatur,210.0,300.0,Aromatherapy,3.5,Rated,90.0,30.0
74,til dil seeds,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",mantra,70.0,70.0,Roasted Seeds & Nuts,3.6,Rated,0.0,0.0
75,"penta plastic pet water bottle - green, wide mouth","Kitchen, Garden & Pets",Storage & Accessories,bb home,75.0,126.0,Water & Fridge Bottles,,Not Rated,51.0,40.476190476190474
76,acne pimple kit for acne & pimple removal,Beauty & Hygiene,Skin Care,natures essence,500.0,500.0,Face Care,3.0,Rated,0.0,0.0
77,"disposable bamboo wood skewer/picker sticks- for barbeque, 12 inch","Kitchen, Garden & Pets",Kitchen Accessories,bamboooz,135.0,299.0,Kitchen Tools & Other Accessories,4.3,Rated,164.0,54.84949832775919
78,& moms bathing soap - jasmine,Beauty & Hygiene,Bath & Hand Wash,dettol,108.0,120.0,Bathing Bars & Soaps,4.6,Rated,12.0,10.0
79,amla chatpata dry fruit,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",fresho signature,49.0,65.0,Dry Fruits & Berries,,Not Rated,16.0,24.615384615384617
80,"toothbrush superhero assorted, batman/spiderman",Beauty & Hygiene,Oral Care,colgate,49.0,79.0,Toothbrush,3.9,Rated,30.0,37.9746835443038
81,chips - topica,Snacks & Branded Foods,Snacks & Namkeen,sanjay,65.0,65.0,Chips & Corn Snacks,3.9,Rated,0.0,0.0
82,cup a soup - croutons cream of asparagus,Gourmet & World Food,"Pasta, Soup & Noodles",batchelors,269.1,299.0,Imported Soups,,Not Rated,29.899999999999977,9.999999999999993
83,organic dal - masoor,"Foodgrains, Oil & Masala",Organic Staples,pro nature,96.0,96.0,Organic Dals & Pulses,3.9,Rated,0.0,0.0
84,strawberry ice cream,Gourmet & World Food,Dairy & Cheese,haagen-dazs,225.0,225.0,Gourmet Ice Cream,,Not Rated,0.0,0.0
85,exo dishwash bar- round 700 gm box + pril dishwash liquid- active 2x lime 225 ml,Cleaning & Household,Detergents & Dishwash,bb combo,95.0,114.0,Dishwash Bars & Powders,,Not Rated,19.0,16.666666666666664
86,jupiter water/juice glass tumbler,"Kitchen, Garden & Pets",Crockery & Cutlery,bb home,479.0,629.0,Glassware,,Not Rated,150.0,23.84737678855326
87,"cheese - feta greek, block",Gourmet & World Food,Dairy & Cheese,fresho signature,695.7,773.0,International Cheese,,Not Rated,77.29999999999995,9.999999999999993
88,avida 3-in-1 semi economy pouch -  fg01248,Cleaning & Household,Pooja Needs,shalimar,31.5,35.0,"Agarbatti, Incense Sticks",4.6,Rated,3.5,10.0
89,bathing soap - sandal & turmeric,Beauty & Hygiene,Bath & Hand Wash,godrej no.1,254.15,299.0,Bathing Bars & Soaps,4.2,Rated,44.849999999999994,15.0
90,sweet corn kernels - chipotle,Fruits & Vegetables,Cuts & Sprouts,supa corn,55.0,55.0,Cut & Peeled Veggies,,Not Rated,0.0,0.0
91,ashwagandha tablets,Beauty & Hygiene,Health & Medicine,muniyal ayurveda,120.0,120.0,Ayurveda,,Not Rated,0.0,0.0
92,hard anodised ezee-pour saucepan with lid - l88,"Kitchen, Garden & Pets",Cookware & Non Stick,hawkins futura,864.5,910.0,Tawa & Sauce Pan,4.6,Rated,45.5,5.0
93,topp up milk - elaichi,"Bakery, Cakes & Dairy",Dairy,gowardhan,80.01,90.0,"Flavoured, Soya Milk",5.0,Rated,9.989999999999995,11.099999999999994
94,namkeen - madras mixture,Snacks & Branded Foods,Snacks & Namkeen,townbus,10.0,10.0,Namkeen & Savoury Snacks,4.1,Rated,0.0,0.0
95,"stainless steel storage lunch container - flat, carry snack pack","Kitchen, Garden & Pets",Steel Utensils,ramson,129.0,249.0,Steel Storage Containers,1.5,Rated,120.0,48.19277108433735
96,oceans deodorant for men - long lasting & fresh aquatic fragrance,Beauty & Hygiene,Fragrances & Deos,brut,179.4,299.0,Men's Deodorants,4.0,Rated,119.6,40.0
97,hair remover spray - foam lemon,Beauty & Hygiene,Feminine Hygiene,dimples,1200.0,1200.0,Hair Removal,,Not Rated,0.0,0.0
98,mr. magic powder-to-liquid germ protection handwash empty bottle + refill,Beauty & Hygiene,Bath & Hand Wash,godrej protekt,32.55,35.0,Hand Wash & Sanitizers,4.4,Rated,2.450000000000003,7.000000000000008
99,frankincense oil,Beauty & Hygiene,Skin Care,organic harvest,258.75,345.0,Aromatherapy,3.7,Rated,86.25,25.0
100,"wonder diaper pants - xtra large, 12-17 kg",Baby Care,Diapers & Wipes,huggies,1266.38,1398.0,Diapers,4.0,Rated,131.6199999999999,9.414878397711007
101,samrakshana vaastu deepa thailam,"Foodgrains, Oil & Masala",Edible Oils & Ghee,samvruddhi,515.0,515.0,Other Edible Oils,,Not Rated,0.0,0.0
102,quinoa - organic black,Gourmet & World Food,Cooking & Baking Needs,nourish you,495.0,495.0,Quinoa & Grains,,Not Rated,0.0,0.0
103,fructis serum - long & strong,Beauty & Hygiene,Hair Care,garnier,230.0,230.0,Shampoo & Conditioner,4.8,Rated,0.0,0.0
104,citrus blast orange lemon soap free body wash,Beauty & Hygiene,Bath & Hand Wash,fuschia,225.0,250.0,Shower Gel & Body Wash,3.7,Rated,25.0,10.0
105,veda marie light biscuits,Snacks & Branded Foods,Biscuits & Cookies,sunfeast,30.0,30.0,"Marie, Health, Digestive",4.4,Rated,0.0,0.0
106,"2 fold umbrella - auto-open & manual close, dark violet","Kitchen, Garden & Pets",Storage & Accessories,fendo,289.0,749.0,Umbrella,3.6,Rated,460.0,61.41522029372497
107,aamras mango fruit juice,Beverages,Fruit Juices & Drinks,paper boat,243.0,360.0,Juices,,Not Rated,117.0,32.5
108,henna & ginseng anti hair loss shampoo,Beauty & Hygiene,Hair Care,jovees,137.75,145.0,Shampoo & Conditioner,3.6,Rated,7.25,5.0
109,"sandwich toaster - non-stick, gas","Kitchen, Garden & Pets",Cookware & Non Stick,omega,249.0,315.0,Kadai & Fry Pans,3.3,Rated,66.0,20.952380952380953
110,"baby cereal - ragi almond & banana, 6-8 months, no preservatives, no artificial colours",Baby Care,Baby Food & Formula,slurrp farm,349.0,349.0,Baby Food,4.0,Rated,0.0,0.0
111,incense sticks - sandal,Cleaning & Household,Pooja Needs,ambica,60.0,60.0,"Agarbatti, Incense Sticks",4.6,Rated,0.0,0.0
112,spf 15 sunscreen lotion,Beauty & Hygiene,Skin Care,elovera,209.3,299.0,Body Care,5.0,Rated,89.69999999999999,30.0
113,fenugreek,"Foodgrains, Oil & Masala",Organic Staples,organic tattva,28.5,30.0,Organic Masalas & Spices,4.2,Rated,1.5,5.0
114,caramel popcorn - himalayan salt,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",4700bc,44.1,49.0,Gourmet Popcorn,,Not Rated,4.899999999999999,9.999999999999998
115,cold pressed bhringraj cooling oil for hair fall & damage control,Beauty & Hygiene,Skin Care,soulflower,182.75,215.0,Aromatherapy,4.0,Rated,32.25,15.0
116,sapota - organically grown,Fruits & Vegetables,Fresh Fruits,fresho,35.0,43.75,Organic Fruits,,Not Rated,8.75,20.0
117,spiced tea - blend of 7 refreshing spices,Beverages,Tea,wagh bakri,150.0,150.0,Leaf & Dust Tea,4.3,Rated,0.0,0.0
118,"steel bowl/vati/katori - no. 4, chutney","Kitchen, Garden & Pets",Steel Utensils,bb home,69.0,159.0,Bowls & Vessels,,Not Rated,90.0,56.60377358490566
119,"adult dry cat food - +1 year, ocean fish","Kitchen, Garden & Pets",Pet Food & Accessories,maxi persian,999.0,999.0,Pet Meals & Treats,,Not Rated,0.0,0.0
120,millet rusk - sweet,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",nutribee,100.0,100.0,Rusks,4.5,Rated,0.0,0.0
121,"stainless steel kadai - induction bottom with glass lid,  26 cm","Kitchen, Garden & Pets",Cookware & Non Stick,vinod,1099.0,1335.0,Kadai & Fry Pans,3.8,Rated,236.0,17.677902621722847
122,"power pocket - long lasting bathroom fragrance, berry rush",Cleaning & Household,Fresheners & Repellents,aer,53.35,55.0,Air Freshener,4.2,Rated,1.6499999999999986,2.9999999999999973
123,cabbage - red,Fruits & Vegetables,Fresh Vegetables,fresho,23.0,28.75,Cabbage & Cauliflower,,Not Rated,5.75,20.0
124,marvel spiderman 2-in-1 snackeez bottle with snack box,"Kitchen, Garden & Pets",Storage & Accessories,hm international,269.0,299.0,Lunch Boxes,3.0,Rated,30.0,10.033444816053512
125,refined oil - rice bran (natural oryzanol & vitamin e),"Foodgrains, Oil & Masala",Edible Oils & Ghee,dhara,183.0,185.0,"Sunflower, Rice Bran Oil",4.1,Rated,2.0,1.0810810810810811
126,premium square plastic container - green,"Kitchen, Garden & Pets",Storage & Accessories,mastercook,179.0,280.0,Containers Sets,3.9,Rated,101.0,36.07142857142857
127,instant popcorn - butter delite,Snacks & Branded Foods,Snacks & Namkeen,act ii,29.7,33.0,Chips & Corn Snacks,4.2,Rated,3.3000000000000007,10.000000000000002
128,cherry lip balm 4.5 g + deep nourish elbow & foot cream 50 g,Beauty & Hygiene,Skin Care,kaya clinic,455.0,525.0,Lip Care,,Not Rated,70.0,13.333333333333334
129,nutrition plus health supplement - joint support,Beauty & Hygiene,Health & Medicine,abbies,1299.0,1299.0,Supplements & Proteins,,Not Rated,0.0,0.0
130,glass belleza bowl - wine,"Kitchen, Garden & Pets",Crockery & Cutlery,iveo,299.0,398.0,Glassware,,Not Rated,99.0,24.87437185929648
131,dark fantasy - choco fills biscuits - cookies,Snacks & Branded Foods,Biscuits & Cookies,sunfeast,23.76,30.0,Cream Biscuits & Wafers,4.3,Rated,6.239999999999998,20.799999999999994
132,banana - red,Fruits & Vegetables,Fresh Fruits,fresho,39.0,48.75,"Banana, Sapota & Papaya",,Not Rated,9.75,20.0
133,"chilli - bajji, mild",Fruits & Vegetables,Herbs & Seasonings,fresho,14.0,17.5,"Lemon, Ginger & Garlic",,Not Rated,3.5,20.0
134,i love you fruit n nut chocolate,Snacks & Branded Foods,Chocolates & Candies,amul,90.0,100.0,Chocolates,4.2,Rated,10.0,10.0
135,pitted green olives,Gourmet & World Food,Tinned & Processed Food,del monte,230.0,230.0,"Olive, Jalapeno, Gherkin",4.4,Rated,0.0,0.0
136,glass mixing bowl with lid - polo,"Kitchen, Garden & Pets",Crockery & Cutlery,yera,159.0,190.0,Glassware,3.7,Rated,31.0,16.315789473684212
137,cake gel,Gourmet & World Food,Cooking & Baking Needs,purix,85.5,90.0,"Baking, Cake Decorations",,Not Rated,4.5,5.0
138,toffees - excellence assorted,Gourmet & World Food,Chocolates & Biscuits,sapphire,250.0,250.0,International Chocolates,,Not Rated,0.0,0.0
139,organic idly podi - ginger,Snacks & Branded Foods,Ready To Cook & Eat,aaha oho,75.0,75.0,Breakfast & Snack Mixes,3.9,Rated,0.0,0.0
140,glass water bottle - aquaria organic purple,"Kitchen, Garden & Pets",Storage & Accessories,cello,369.0,425.0,Water & Fridge Bottles,4.8,Rated,56.0,13.176470588235295
141,stainless steel pav bhaji/idli oval shaped plate,"Kitchen, Garden & Pets",Steel Utensils,omega,125.0,125.0,Plates & Tumblers,3.6,Rated,0.0,0.0
142,organic cow ghee/tuppa,"Foodgrains, Oil & Masala",Organic Staples,akshayakalpa,280.0,280.0,"Organic Edible Oil, Ghee",4.2,Rated,0.0,0.0
143,dates/kharjura - deseeded,"Foodgrains, Oil & Masala",Dry Fruits,lion,66.0,66.0,Other Dry Fruits,4.1,Rated,0.0,0.0
144,chutney - sweet mango sliced (without garlic),Snacks & Branded Foods,Pickles & Chutney,priya,90.0,90.0,Lime & Mango Pickle,3.9,Rated,0.0,0.0
145,turmeric powder/arisina pudi,"Foodgrains, Oil & Masala",Masalas & Spices,aashirvaad,32.0,64.0,Powdered Spices,4.2,Rated,32.0,50.0
146,bread - fruit,"Bakery, Cakes & Dairy",Breads & Buns,english oven,20.0,20.0,"Milk, White & Sandwich",,Not Rated,0.0,0.0
147,bombay street food spice blend,Gourmet & World Food,Cooking & Baking Needs,cafe junyali,225.0,225.0,"Curry Paste, Coconut Milk",,Not Rated,0.0,0.0
148,ragi flakes,Snacks & Branded Foods,Breakfast Cereals,murginns,225.0,225.0,Flakes,4.5,Rated,0.0,0.0
149,mustard oil - cold pressed,Gourmet & World Food,Oils & Vinegar,health 1st,250.0,250.0,Flavoured & Other Oils,3.7,Rated,0.0,0.0
150,juice/water glass - long drink nord,"Kitchen, Garden & Pets",Crockery & Cutlery,lyra,639.0,975.0,Glassware,3.3,Rated,336.0,34.46153846153846
151,glass amaze air tight jar - pink,"Kitchen, Garden & Pets",Crockery & Cutlery,iveo,289.0,358.0,Glassware,,Not Rated,69.0,19.273743016759777
152,"finger brush for kids - blue, ultra soft",Beauty & Hygiene,Oral Care,dentoshine,120.0,120.0,Toothbrush,4.3,Rated,0.0,0.0
153,water/juice glass  - jupiter long glass,"Kitchen, Garden & Pets",Crockery & Cutlery,lyra,459.0,705.0,Glassware,3.5,Rated,246.0,34.8936170212766
154,energy bar - choco crunch,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",on the run,50.0,50.0,"Healthy, Baked Snacks",,Not Rated,0.0,0.0
155,breeze - razor blades,Beauty & Hygiene,Feminine Hygiene,gillette venus,350.0,350.0,Hair Removal,4.3,Rated,0.0,0.0
156,"confeito vermicelli combo, sprinkles",Gourmet & World Food,Cooking & Baking Needs,wow confetti,247.0,260.0,"Baking, Cake Decorations",,Not Rated,13.0,5.0
157,olive oil - classic,Gourmet & World Food,Oils & Vinegar,borges,429.03,700.0,"Pure, Pomace Olive Oil",4.5,Rated,270.97,38.71000000000001
158,"octa plastic pet water bottle - light blue, narrow mouth","Kitchen, Garden & Pets",Storage & Accessories,bb home,25.0,42.0,Water & Fridge Bottles,,Not Rated,17.0,40.476190476190474
159,chia seeds,Gourmet & World Food,Cooking & Baking Needs,organicana,185.0,185.0,Quinoa & Grains,,Not Rated,0.0,0.0
160,skin cream,Beauty & Hygiene,Skin Care,aloederm,112.5,150.0,Face Care,3.1,Rated,37.5,25.0
161,one touch air purifier freshener - floral bouquet refill,Cleaning & Household,Fresheners & Repellents,odonil,77.0,77.0,Air Freshener,4.2,Rated,0.0,0.0
162,water/juice glass,"Kitchen, Garden & Pets",Crockery & Cutlery,yera,189.0,220.0,Glassware,3.7,Rated,31.0,14.09090909090909
163,color naturals creme riche ultra hair color - raspberry red,Beauty & Hygiene,Hair Care,garnier,199.0,199.0,Hair Color,4.1,Rated,0.0,0.0
164,nomarks - antimarks soap for oily skin,Beauty & Hygiene,Bath & Hand Wash,bajaj,40.0,40.0,Bathing Bars & Soaps,4.3,Rated,0.0,0.0
165,"silver needles tulsi white tea bags - rich in antioxidants, pure tea buds",Gourmet & World Food,Drinks & Beverages,sancha,450.0,450.0,Gourmet Tea & Tea Bags,,Not Rated,0.0,0.0
166,baby napkins - mini terry,Baby Care,Feeding & Nursing,mee mee,179.0,179.0,Bibs & Napkins,4.3,Rated,0.0,0.0
167,"printed fabric pencil pouch - purple, bb1263dppl",Cleaning & Household,Stationery,dp,232.0,399.0,Exam Pads & Pencil Box,4.0,Rated,167.0,41.854636591478695
168,snacks - roasted mixture lime,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",gooddiet,79.0,109.0,"Healthy, Baked Snacks",,Not Rated,30.0,27.522935779816514
169,organic dosa mix - jowar,Snacks & Branded Foods,Ready To Cook & Eat,aaha oho,80.0,80.0,Breakfast & Snack Mixes,3.7,Rated,0.0,0.0
170,lunch box/tiffin set - green bb 570 2,"Kitchen, Garden & Pets",Storage & Accessories,tedemei,509.0,565.0,Lunch Boxes,3.6,Rated,56.0,9.91150442477876
171,bcaa energy drink - berry flavour,Beverages,Energy & Soft Drinks,nocd,110.0,110.0,Sports & Energy Drinks,4.0,Rated,0.0,0.0
172,coffee energizing face scrub,Beauty & Hygiene,Skin Care,biotique,142.5,190.0,Face Care,3.0,Rated,47.5,25.0
173,pain relief - oil,Beauty & Hygiene,Hair Care,himalaya wellness,90.0,100.0,Hair Oil & Serum,4.4,Rated,10.0,10.0
174,ultra soft new born diapers - extra small,Baby Care,Diapers & Wipes,huggies,699.0,999.0,Diapers,3.9,Rated,300.0,30.03003003003003
175,jungle stimulating facial cleanser,Beauty & Hygiene,Skin Care,stbotanica,799.0,799.0,Face Care,,Not Rated,0.0,0.0
176,ylang ylang essential oil,Beauty & Hygiene,Skin Care,soulflower,328.0,450.0,Aromatherapy,4.5,Rated,122.0,27.111111111111114
